customerID,Contract,tenure,MonthlyCharges,TotalCharges,PaymentMethod,TechSupport,PaperlessBilling,Churn
7590-VHVEG,Month-to-month,1,29.85,29.85,Electronic check,No,Yes,No
5575-GNVDE,One year,34,56.95,1889.5,Mailed check,No,No,No
3668-QPYBK,Month-to-month,2,53.85,108.15,Mailed check,No,Yes,Yes
7795-CFOCW,One year,45,42.3,1840.75,Bank transfer (automatic),Yes,No,No
9237-HQITU,Month-to-month,2,70.7,151.65,Electronic check,No,Yes,Yes
9305-CDSKC,Month-to-month,8,99.65,820.5,Electronic check,No,Yes,Yes
1452-KIOVK,Month-to-month,22,89.1,1949.4,Credit card (automatic),No,Yes,No
6713-OKOMC,Month-to-month,10,29.75,301.9,Mailed check,No,No,No
7892-POOKP,Month-to-month,28,104.8,3046.05,Electronic check,Yes,Yes,Yes
6388-TABGU,One year,62,56.15,3487.95,Bank transfer (automatic),No,No,No
9763-GRSKD,Month-to-month,13,49.95,587.45,Mailed check,No,Yes,No
7469-LKBCI,Two year,16,18.95,326.8,Credit card (automatic),No internet service,No,No
8091-TTVAX,One year,58,100.35,5681.1,Credit card (automatic),No,No,No
0280-XJGEX,Month-to-month,49,103.7,5036.3,Bank transfer (automatic),No,Yes,Yes
5129-JLPIS,Month-to-month,25,105.5,2686.05,Electronic check,Yes,Yes,No
3655-SNQYZ,Two year,69,113.25,7895.15,Credit card (automatic),Yes,No,No
8191-XWSZG,One year,52,20.65,1022.95,Mailed check,No internet service,No,No
9959-WOFKT,Two year,71,106.7,7382.25,Bank transfer (automatic),No,No,No
4190-MFLUW,Month-to-month,10,55.2,528.35,Credit card (automatic),Yes,No,Yes
4183-MYFRB,Month-to-month,21,90.05,1862.9,Electronic check,No,Yes,No
8779-QRDMV,Month-to-month,1,39.65,39.65,Electronic check,No,Yes,Yes
1680-VDCWW,One year,12,19.8,202.25,Bank transfer (automatic),No internet service,No,No
1066-JKSGK,Month-to-month,1,20.15,20.15,Mailed check,No internet service,No,Yes
3638-WEABW,Two year,58,59.9,3505.1,Credit card (automatic),Yes,Yes,No
6322-HRPFA,Month-to-month,49,59.6,2970.3,Credit card (automatic),Yes,No,No
6865-JZNKO,Month-to-month,30,55.3,1530.6,Bank transfer (automatic),No,Yes,No
6467-CHFZW,Month-to-month,47,99.35,4749.15,Electronic check,No,Yes,Yes
8665-UTDHZ,Month-to-month,1,30.2,30.2,Electronic check,No,No,Yes
